length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo
226909,0.692,0.306,0.552,2.34e-05,0.11,0.152,-9.397,0.0345,109.992
269560,0.422,0.922,0.264,0.0,0.132,0.331,-7.064,0.0322,119.93
181714,0.498,0.952,0.0942,0.0,0.13,0.299,-18.713,0.126,139.218
160790,0.633,0.515,0.242,0.0,0.0839,0.694,-8.523,0.0761,98.219
204090,0.588,0.000327,0.894,0.0,0.351,0.728,-4.747,0.0347,123.966
182160,0.501,0.751,0.405,0.0,0.105,0.446,-5.679,0.0319,109.891
222997,0.735,0.334,0.369,0.0,0.126,0.235,-9.682,0.0688,140.004
227093,0.371,0.748,0.268,0.0517,0.104,0.165,-10.506,0.0281,102.617
201083,0.572,0.587,0.406,4.48e-06,0.102,0.265,-8.624,0.0427,119.812
258986,0.614,0.607,0.379,0.000464,0.0986,0.201,-10.48,0.0476,107.989
239000,0.258,0.101,0.437,1.27e-06,0.106,0.0967,-6.593,0.039,180.043
204326,0.329,0.918,0.235,0.0,0.137,0.22,-7.699,0.0303,171.006
196077,0.367,0.978,0.111,3.97e-05,0.0897,0.198,-14.084,0.0972,82.642
